site_id,latitude,longitude,start_date,end_date,status,timestamp,pm10,pm2_5,aqi
7.60742E+12,-37.818482,144.9637108,2023-10-10,2026-10-10,active,2026-04-12T18:00,6.0,4.1,21
7144340423408/A,-37.8136167,144.9891925,2023-10-10,2025-10-10,inactive,2026-04-12T18:00,6.0,4.1,21
8.55925E+12,-37.8187641,144.9472974,2023-10-12,2026-10-12,active,2026-04-12T18:00,6.0,4.1,21
3.78953E+12,-37.8140046,144.9699179,2023-10-11,2026-10-11,active,2026-04-12T18:00,6.0,4.1,21
7.58884E+12,-37.8231713,144.9639481,2023-10-10,2026-10-10,active,2026-04-12T18:00,6.0,4.1,21
4.06917E+12,-37.815334,144.9601572,2023-10-11,2025-10-11,inactive,2026-04-12T18:00,6.0,4.1,21
3857007888930/A,-37.7901075,144.9382846,2023-07-05,2026-07-05,active,2026-04-12T18:00,4.6,3.4,20
54182/9537293749906/0,-37.8140943,144.9689782,2023-10-06,2026-10-06,active,2026-04-12T18:00,6.0,4.1,21
7794453670402/A1,-37.7934196,144.9744606,2023-09-28,2025-09-28,inactive,2026-04-12T18:00,4.6,3.4,20
2.46604E+12,-37.801822,144.9685587,2023-10-09,2025-10-09,inactive,2026-04-12T18:00,6.0,4.1,21
54182/1013116400203/0A,-37.8124903,144.9648912,2023-10-03,2026-10-03,active,2026-04-12T18:00,6.0,4.1,21
5552503669440/A,-37.8201768,144.966393,2023-10-02,2026-10-02,active,2026-04-12T18:00,6.0,4.1,21
5.25385E+12,-37.809762,144.9624727,2023-09-28,2026-09-28,active,2026-04-12T18:00,6.0,4.1,21
9.8853E+12,-37.8145283,144.9705094,2023-09-28,2026-09-28,active,2026-04-12T18:00,6.0,4.1,21
4997669791764/B,-37.7962099,144.9529177,2023-10-02,2025-10-02,inactive,2026-04-12T18:00,4.6,3.4,20
4997669791764/A,-37.7962099,144.9529177,2023-10-02,2025-10-02,inactive,2026-04-12T18:00,4.6,3.4,20
7165670350848 - AMENDMENT A,-37.8078912,144.9454145,2023-09-28,2025-09-28,inactive,2026-04-12T18:00,6.0,4.1,21
4.98031E+12,-37.7931056,144.9177156,2023-10-02,2025-10-02,inactive,2026-04-12T18:00,4.6,3.4,20
3.08672E+12,-37.811721,144.9639722,2023-10-03,2026-10-03,active,2026-04-12T18:00,6.0,4.1,21
1.5693E+12,-37.829122,144.9849134,2023-09-27,2025-09-27,inactive,2026-04-12T18:00,6.0,4.1,21
1569300549638/A,-37.829122,144.9849134,2023-09-27,2025-09-27,inactive,2026-04-12T18:00,6.0,4.1,21
2.3836E+12,-37.8175062,144.9657889,2023-09-28,2024-09-28,inactive,2026-04-12T18:00,6.0,4.1,21
7560016884990/A,-37.8140943,144.9689782,2023-09-19,2026-09-19,active,2026-04-12T18:00,6.0,4.1,21
4.54804E+12,-37.8158966,144.9585893,2023-09-22,2026-09-22,active,2026-04-12T18:00,6.0,4.1,21
2156210287215/1,-37.7967456,144.9377112,2023-09-22,2026-09-22,active,2026-04-12T18:00,4.6,3.4,20
3.00912E+12,-37.8105134,144.9617363,2023-09-22,2026-09-22,active,2026-04-12T18:00,6.0,4.1,21
8.78503E+12,-37.8109402,144.9619384,2023-09-18,2026-09-18,active,2026-04-12T18:00,6.0,4.1,21
5.99446E+12,-37.801401,144.9627225,2023-09-20,2026-09-20,active,2026-04-12T18:00,6.0,4.1,21
3.32288E+12,-37.8165168,144.9565571,2023-09-22,2026-09-22,active,2026-04-12T18:00,6.0,4.1,21
8.01468E+12,-37.8245378,144.9422147,2023-09-06,2026-09-06,active,2026-04-12T18:00,6.0,4.1,21
4.8459E+12,-37.8146346,144.9625779,2023-09-08,2026-09-08,active,2026-04-12T18:00,6.0,4.1,21
7.11346E+12,-37.7975091,144.9677634,2023-09-14,2026-09-14,active,2026-04-12T18:00,4.6,3.4,20
1.85718E+12,-37.8005947,144.9542036,2023-09-19,2026-09-19,active,2026-04-12T18:00,6.0,4.1,21
8.21801E+12,-37.8124325,144.9547704,2023-09-19,2026-09-19,active,2026-04-12T18:00,6.0,4.1,21
3.15312E+12,-37.8145283,144.9705094,2023-08-29,2026-08-29,active,2026-04-12T18:00,6.0,4.1,21
24065/3053915305195/0,-37.8126873,144.9677479,2023-09-13,2026-09-13,active,2026-04-12T18:00,6.0,4.1,21
